1 ,2024-10-06-16:55:08, mkdir [W02-Practice]
2 ,2024-10-06-16:57:10, mv [data][W02-Practice]
3 ,2024-10-06-16:57:46, mv data/W02-Practice
4 ,2024-10-06-16:58:29, mv --help
5 ,2024-10-06-17:00:13, mv data
6 ,2024-10-06-17:00:28, mv data W02-Practice
7 ,2024-10-06-17:02:28, mv [[data]][[W02-Practice]]
8 ,2024-10-06-17:03:03, mv [data]/[W02-Practice]
9 ,2024-10-06-17:06:31, cd W02-Practice
10 ,2024-10-06-17:06:52, touch data
11 ,2024-10-06-17:06:57, touch code
12 ,2024-10-06-17:07:45, history
13 ,2024-10-06-17:08:15, print-history
14 ,2024-10-06-17:08:50, print-history > ./data/bash_history.csv
15 ,2024-10-08-13:09:30, cd W02-Practice
16 ,2024-10-08-13:09:40, touch ./code/commands_analysis.py
17 ,2024-10-08-13:09:51, nano ./code/commands_analysis.py
18 ,2024-10-08-13:11:44, print-history > ./data/bash_history.csv
