data-product-id,data-product-name,data-product-type,data-product-on-offer,data-product-index,image-url,product-page,product-name,product-size,item-price,price-per-unit,offer-description,category
497633,Finish Quantum All in One Lemon Dishwasher Tablets,G,true,132,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_497633_BP_3.jpg,https://www.waitrose.com/ecom/products/finish-quantum-all-in-one-lemon-dishwasher-tablets/497633-778256-778257,Finish Quantum All in One Lemon Dishwasher Tablets,64Each,£10.00,15.6p each,Save 1/3. Was £15.00,Household
627645,Finish Ultimate Plus All in One Lemon Dishwasher Tablets Large Pack,G,true,277,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_627645_BP_3.jpg,https://www.waitrose.com/ecom/products/finish-ultimate-plus-all-in-one-lemon-dishwasher-tablets-large-pack/627645-803194-803195,Finish Ultimate Plus All in One Lemon Dishwasher Tablets Large Pack,48Each,£9.00,18.8p each,save £6.50. Was £15.50,Household
475915,Finish Ultimate All in One Lemon Dishwasher Tablets,G,true,230,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_475915_BP_3.jpg,https://www.waitrose.com/ecom/products/finish-ultimate-all-in-one-lemon-dishwasher-tablets/475915-720137-720138,Finish Ultimate All in One Lemon Dishwasher Tablets,36s,£8.00,22.2p each,Save 1/3. Was £12.50,Household
028863,Essential White Ultra Soft Bathroom Tissue,G,false,4,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_028863_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-white-ultra-soft-bathroom-tissue/028863-14063-14064,Essential White Ultra Soft Bathroom Tissue,9x190 sheets,£4.00,23.4p/100 sheets,,Household
022482,Essential Thick Bleach Citrus,G,false,5,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_022482_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-thick-bleach-citrus/022482-10960-10961,Essential Thick Bleach Citrus,750ml,75p,£1/litre,,Household
879894,essential Waitrose Soft White Tissues,G,false,6,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_879894_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-waitrose-soft-white-tissues/879894-287831-287832,essential Waitrose Soft White Tissues,96 sheets,£1.40,14.6p/10 sheets,,Household
616207,Essential 2 Extra Length Kitchen Rolls,G,false,7,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_616207_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-2-extra-length-kitchen-rolls/616207-698054-698055,Essential 2 Extra Length Kitchen Rolls,2x100 sheets,£2.70,£1.35/100 sheets,,Household
014407,Andrex Supreme Quilts Toilet Roll,G,true,8,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_014407_BP_3.jpg,https://www.waitrose.com/ecom/products/andrex-supreme-quilts-toilet-roll/014407-6924-6925,Andrex Supreme Quilts Toilet Roll,9x155 sheets,£7.10,50.9p/100 sheets,Add 2 for £10,Household
071469,Andrex Classic Clean Toilet Roll,G,true,9,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_071469_BP_3.jpg,https://www.waitrose.com/ecom/products/andrex-classic-clean-toilet-roll/071469-36254-36255,Andrex Classic Clean Toilet Roll,9x190 sheets,£4.95,28.9p/100 sheets,save £1.65. Was £6.60,Household
003521,Essential Aluminium Foil 10m x 300mm,G,false,10,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_003521_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-aluminium-foil-10m-x-300mm/003521-1413-1414,Essential Aluminium Foil 10m x 300mm,Each,£1.50,£1.50 each,,Household
760378,Essential Kitchen Rolls,G,false,11,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_760378_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-kitchen-rolls/760378-698132-698133,Essential Kitchen Rolls,4x100 sheets,£4.30,£1.08/100 sheets,,Household
032584,Domestos Thick Bleach Original Toilet Cleaner,G,false,12,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_032584_BP_3.jpg,https://www.waitrose.com/ecom/products/domestos-thick-bleach-original-toilet-cleaner/032584-15927-15928,Domestos Thick Bleach Original Toilet Cleaner,750ml,£1.60,£2.14/litre,,Household
681764,Regina Blitz 3 Ply Towels,G,false,13,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_681764_BP_3.jpg,https://www.waitrose.com/ecom/products/regina-blitz-3-ply-towels/681764-268170-268171,Regina Blitz 3 Ply Towels,2x70 sheets,£5.25,£3.75/100 sheets,,Household
003551,Essential Thick Bleach,G,false,14,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_003551_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-thick-bleach/003551-1445-1446,Essential Thick Bleach,750ml,75p,£1/litre,,Household
