data-product-id,data-product-name,data-product-type,data-product-on-offer,data-product-index,image-url,product-page,product-name,product-size,item-price,price-per-unit,offer-description,category
021062,Hendrick's Gin,G,false,668,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_021062_BP_3.jpg,https://www.waitrose.com/ecom/products/hendricks-gin/021062-10253-10254,Hendrick's Gin,70cl,£32.50,£46.43/litre,,Summer
659339,Tanqueray London Dry Gin,G,false,318,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_659339_BP_3.jpg,https://www.waitrose.com/ecom/products/tanqueray-london-dry-gin/659339-755995-755996,Tanqueray London Dry Gin,1L,£30.00,£30/litre,,Summer
568564,Peroni Capri,G,true,1361,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_568564_BP_3.jpg,https://www.waitrose.com/ecom/products/peroni-capri/568564-804106-804107,Peroni Capri,10x330ml,£14.00,£4.25/litre,Add 2 for £22,Summer
512720,Waitrose Summer 4 Beef Smash Burgers with Bone Marrow,G,true,4,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_512720_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-summer-4-beef-smash-burgers-with-bone-marrow/512720-824444-824445,Waitrose Summer 4 Beef Smash Burgers with Bone Marrow,454g,£4.25,£9.37/kg,Add 3 for £12,Summer
505390,Waitrose Summer 2 American Style Pork Melt Burgers,G,true,5,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_505390_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-summer-2-american-style-pork-melt-burgers/505390-824442-824443,Waitrose Summer 2 American Style Pork Melt Burgers,300g,£4.25,£14.17/kg,Add 3 for £12,Summer
443931,Waitrose Summer 4 New York Style Beef Burgers,G,true,6,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_443931_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-summer-4-new-york-style-beef-burgers/443931-779238-779239,Waitrose Summer 4 New York Style Beef Burgers,454g,£4.25,£9.37/kg,Add 3 for £12,Summer
585727,Waitrose Summer 2 Chilli Halloumi Burgers,G,true,7,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_585727_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-summer-2-chilli-halloumi-burgers/585727-780243-780244,Waitrose Summer 2 Chilli Halloumi Burgers,250g,£4.25,£17/kg,Add 3 for £12,Summer
859589,Magnum Mini Classic,G,false,8,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_859589_BP_3.jpg,https://www.waitrose.com/ecom/products/magnum-mini-classic/859589-823426-823427,Magnum Mini Classic,6x55ml,£4.75,£1.44/100ml,,Summer
677646,Cornetto Classico Ice Cream Cone,G,true,9,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_677646_BP_3.jpg,https://www.waitrose.com/ecom/products/cornetto-classico-ice-cream-cone/677646-261246-261247,Cornetto Classico Ice Cream Cone,6x90ml,£3.95,73.1p/100ml,Add 2 for £5,Summer
857133,Magnum Mini Double Caramel Chocolate Ice Cream Sticks,G,false,10,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_857133_BP_3.jpg,https://www.waitrose.com/ecom/products/magnum-mini-double-caramel-chocolate-ice-cream-sticks/857133-493306-493306,Magnum Mini Double Caramel Chocolate Ice Cream Sticks,6x55ml,£4.75,£1.44/100ml,,Summer
721670,Cornetto Strawberry Ice Cream Cone,G,true,11,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_721670_BP_3.jpg,https://www.waitrose.com/ecom/products/cornetto-strawberry-ice-cream-cone/721670-261268-261269,Cornetto Strawberry Ice Cream Cone,6x90ml,£3.95,73.1p/100ml,Add 2 for £5,Summer
035738,035738 - Solero Exotic Ice cream Lolly,G,true,12,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_035738_BP_3.jpg,https://www.waitrose.com/ecom/products/035738-solero-exotic-ice-cream-lolly/035738-17968-17969,035738 - Solero Exotic Ice cream Lolly,270ml,£2.75,£1.02/100ml,Add 2 for £4,Summer
687780,Cadbury Dairy Milk Sticks,G,true,13,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_687780_BP_3.jpg,https://www.waitrose.com/ecom/products/cadbury-dairy-milk-sticks/687780-801988-801989,Cadbury Dairy Milk Sticks,4x90ml,£3.70,,Add 2 for £5,Summer
609890,Magnum Almond Ice Cream Sticks,G,false,14,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_609890_BP_3.jpg,https://www.waitrose.com/ecom/products/magnum-almond-ice-cream-sticks/609890-824373-824374,Magnum Almond Ice Cream Sticks,6x100ml,£6.15,£1.03/100ml,,Summer
088067,Waitrose British Strawberries,G,true,15,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088067_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-british-strawberries/088067-372145-45059,Waitrose British Strawberries,400g,£3.00,£7.50/kg,Add 2 for £4,Summer
483587,Waitrose Blueberries,G,true,16,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_483587_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-blueberries/483587-344052-344053,Waitrose Blueberries,150g,£2.50,£16.67/kg,Add 2 for £4,Summer
088061,Waitrose Raspberries,G,true,17,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088061_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-raspberries/088061-372144-45046,Waitrose Raspberries,150g,£2.60,£17.34/kg,Add 2 for £4,Summer
649631,Waitrose Blackberries,G,true,18,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_649631_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-blackberries/649631-92200-92201,Waitrose Blackberries,150g,£3.00,£20/kg,Add 2 for £4,Summer
885146,Waitrose Summer 4 Seeded Brioche Burger Buns,G,false,19,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_885146_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-summer-4-seeded-brioche-burger-buns/885146-779373-779374,Waitrose Summer 4 Seeded Brioche Burger Buns,4s,£1.80,45p each,,Summer
580445,Waitrose Summer Tikka Chicken Breast Kebabs,G,true,20,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_580445_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-summer-tikka-chicken-breast-kebabs/580445-779925-779926,Waitrose Summer Tikka Chicken Breast Kebabs,250g,£4.25,£17/kg,Add 3 for £12,Summer
826646,Waitrose Summer 6 Smokin' Hot Honey Pork Belly Slices,G,true,21,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_826646_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-summer-6-smokin-hot-honey-pork-belly-slices/826646-824456-824457,Waitrose Summer 6 Smokin' Hot Honey Pork Belly Slices,390g,£4.25,£10.90/kg,Add 3 for £12,Summer
835276,Waitrose Snack Sausage Rolls 12pk,G,true,22,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_835276_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-snack-sausage-rolls-12pk/835276-824606-824607,Waitrose Snack Sausage Rolls 12pk,360g,£3.50,97.2p/100g,Add 2 for £5.50,Summer
804043,Waitrose Cheddar Courgette & Pea Crustless Quiche,G,true,23,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_804043_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-cheddar-courgette-pea-crustless-quiche/804043-824600-824601,Waitrose Cheddar Courgette & Pea Crustless Quiche,340g,£3.50,£1.03/100g,Add 2 for £5.50,Summer
859446,Waitrose Pork & Egg Gala Slices,G,true,24,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_859446_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-pork-egg-gala-slices/859446-824616-824617,Waitrose Pork & Egg Gala Slices,250g,£3.50,£1.40/100g,Add 2 for £5.50,Summer
054505,Essential Coleslaw,G,false,25,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_054505_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-coleslaw/054505-27403-27404,Essential Coleslaw,300g,£1.20,40p/100g,,Summer
086468,Essential Cucumber,G,false,26,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086468_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-cucumber/086468-44158-44159,Essential Cucumber,Each,95p,95p each,,Summer
086412,Essential Red Peppers,G,false,27,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086412_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-red-peppers/086412-44120-44121,Essential Red Peppers,Typical weight 0.16kg,60p each est.,£3.75/kg,,Summer
086533,Essential Cherry Tomatoes,G,false,28,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086533_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-cherry-tomatoes/086533-44216-44217,Essential Cherry Tomatoes,500g,£1.45,£2.90/kg,,Summer
086445,Essential Green Celery,G,false,29,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086445_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-green-celery/086445-44146-44147,Essential Green Celery,Each,80p,80p each,,Summer
086413,Essential Yellow Peppers,G,false,30,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086413_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-yellow-peppers/086413-44122-44123,Essential Yellow Peppers,Typical weight 0.16kg,60p each est.,£3.75/kg,,Summer
053142,Essential Salad Mixed,G,false,31,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_053142_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-salad-mixed/053142-26529-26530,Essential Salad Mixed,100g,95p,95p/100g,,Summer
891917,Waitrose Cumberland Picnic Eggs,G,true,32,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_891917_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-cumberland-picnic-eggs/891917-824632-824633,Waitrose Cumberland Picnic Eggs,200g,£3.50,£1.75/100g,Add 2 for £5.50,Summer
