data-product-id,data-product-name,data-product-type,data-product-on-offer,data-product-index,image-url,product-page,product-name,product-size,item-price,price-per-unit,offer-description,category
850323,TENA Lady Pants Plus M,G,true,316,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_850323_BP_3.jpg,https://www.waitrose.com/ecom/products/tena-lady-pants-plus-m/850323-670697-670698,TENA Lady Pants Plus M,9s,£7.00,77.8p each,save £1.50. Was £8.50,"Toiletries, Health & Beauty"
568964,TENA Lady Extra Plus,G,true,111,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_568964_BP_3.jpg,https://www.waitrose.com/ecom/products/tena-lady-extra-plus/568964-327616-327617,TENA Lady Extra Plus,8s,£2.75,34.4p each,Add 2 for £4.50,"Toiletries, Health & Beauty"
462499,TENA Lady Extra,G,true,86,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_462499_BP_3.jpg,https://www.waitrose.com/ecom/products/tena-lady-extra/462499-406302-406303,TENA Lady Extra,10s,£2.75,27.5p each,Add 2 for £4.50,"Toiletries, Health & Beauty"
873282,Essential Oval Paracetamol Tablets,G,false,4,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_873282_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-oval-paracetamol-tablets/873282-311482-311483,Essential Oval Paracetamol Tablets,16s,60p,3.8p each,,"Toiletries, Health & Beauty"
879894,essential Waitrose Soft White Tissues,G,false,5,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_879894_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-waitrose-soft-white-tissues/879894-287831-287832,essential Waitrose Soft White Tissues,96 sheets,£1.40,14.6p/10 sheets,,"Toiletries, Health & Beauty"
851002,Kleenex Collection Tissues Cube,G,false,6,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_851002_BP_3.jpg,https://www.waitrose.com/ecom/products/kleenex-collection-tissues-cube/851002-759780-759781,Kleenex Collection Tissues Cube,48 Sheets,£1.45,30.2p/10 sheets,,"Toiletries, Health & Beauty"
502548,Kleenex Extra Large Tissues Twin Pack,G,false,7,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_502548_BP_3.jpg,https://www.waitrose.com/ecom/products/kleenex-extra-large-tissues-twin-pack/502548-70996-70997,Kleenex Extra Large Tissues Twin Pack,2x44 sheets,£2.65,30.1p/10 sheets,,"Toiletries, Health & Beauty"
367846,Essential Paracetamol Capsules,G,false,8,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_367846_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-paracetamol-capsules/367846-311100-311101,Essential Paracetamol Capsules,16Each,80p,5p each,,"Toiletries, Health & Beauty"
092324,Kleenex Ultra Soft Tissues Mega Box,G,true,9,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_092324_BP_3.jpg,https://www.waitrose.com/ecom/products/kleenex-ultra-soft-tissues-mega-box/092324-47497-47498,Kleenex Ultra Soft Tissues Mega Box,112 sheets,£4.20,£3.75/100 sheets,Add 2 for £5,"Toiletries, Health & Beauty"
096180,Kleenex Balsam Tissues Mega Box,G,true,10,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_096180_BP_3.jpg,https://www.waitrose.com/ecom/products/kleenex-balsam-tissues-mega-box/096180-49220-49221,Kleenex Balsam Tissues Mega Box,112 Sheets,£4.20,£3.75/100 sheets,Add 2 for £5,"Toiletries, Health & Beauty"
767801,Essential Baby Wipes,G,false,11,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_767801_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-baby-wipes/767801-156319-156320,Essential Baby Wipes,80s,95p,1.2p each,,"Toiletries, Health & Beauty"
078768,Waitrose Ultra Soft White Tissues,G,false,12,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_078768_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-ultra-soft-white-tissues/078768-40105-40106,Waitrose Ultra Soft White Tissues,56 sheets,£1.30,23.2p/10 sheets,,"Toiletries, Health & Beauty"
071559,Essential Large Soft White Tissues,G,false,13,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_071559_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-large-soft-white-tissues/071559-36312-36313,Essential Large Soft White Tissues,100 sheets,£1.90,19p/10 sheets,,"Toiletries, Health & Beauty"
824332,Essential Antibac + Handwash,G,false,14,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_824332_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-antibac-handwash/824332-313474-313475,Essential Antibac + Handwash,250ml,80p,32p/100ml,,"Toiletries, Health & Beauty"
798611,Kleenex Ultra Soft Tissues Extra Large Compact,G,true,15,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_798611_BP_3.jpg,https://www.waitrose.com/ecom/products/kleenex-ultra-soft-tissues-extra-large-compact/798611-784044-784045,Kleenex Ultra Soft Tissues Extra Large Compact,40 sheets,£1.25,31.3p/10 sheets,save £1.10. Was £2.35,"Toiletries, Health & Beauty"
895402,Essential Anti-Bac Hand Wash,G,false,16,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_895402_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-anti-bac-hand-wash/895402-762240-762241,Essential Anti-Bac Hand Wash,500ml,£1.10,22p/100ml,,"Toiletries, Health & Beauty"
