1 ,2024-10-08-18:04:27, mkdir data
2 ,2024-10-08-18:04:31, mkdir code
3 ,2024-10-08-18:04:34, history
4 ,2024-10-08-18:04:43, print-history
5 ,2024-10-08-18:05:01, print-history > ./data/bash_history.csv
6 ,2024-10-08-18:09:00, cat bash_history.csv
7 ,2024-10-08-18:09:26, cat ./data/bash_history.csv
8 ,2024-10-08-18:10:01, head ./data/bash_history.csv
9 ,2024-10-08-18:10:12, tail ./data/bash_history.csv
10 ,2024-10-08-18:10:42, head -n 3 bash_history.csv
11 ,2024-10-08-18:10:49, cd data
12 ,2024-10-08-18:10:52, head -n 5 bash_history.csv
13 ,2024-10-08-18:11:00, head -n 3 bash_history.csv
14 ,2024-10-08-18:11:10, wc -l bash_history.csv
15 ,2024-10-08-18:11:15, wc -w bash_history.csv
16 ,2024-10-08-18:11:23, grep -c 'ls' bash_history.csv
17 ,2024-10-08-18:11:30, grep -c 'cd' bash_history.csv
18 ,2024-10-08-18:11:46, grep -c 'mkdir' bash_history.csv
19 ,2024-10-08-18:12:05, sort bash_history.csv | uniq -c
20 ,2024-10-08-18:12:17, cut -d , -f 1 bash_history.csv
21 ,2024-10-08-18:12:24, cut -d , -f 3 bash_history.csv
22 ,2024-10-08-18:12:32, cut -d , -f 3 bash_history.csv | cut -f 2 -d ' '
23 ,2024-10-08-18:12:44, cut -d , -f 3 bash_history.csv | cut -f 2 -d ' ' | sort | uniq -c
24 ,2024-10-08-18:12:55, cut -d , -f 3 bash_history.csv | cut -f 2 -d ' ' | sort | uniq -c | sort -n
25 ,2024-10-08-18:13:05, echo "My top 5 commands:"
26 ,2024-10-08-18:13:05, cut -d , -f 3 bash_history.csv | cut -f 2 -d ' ' | sort | uniq -c | sort -nr | head -n 5
27 ,2024-10-08-18:13:50, print-history > bash_history.csv
28 ,2024-10-08-18:15:05, print-history > bash_history.csv
29 ,2024-10-08-18:15:18, cd ~
30 ,2024-10-08-18:15:26, cd files
31 ,2024-10-08-18:15:32, cd W02-Practice
32 ,2024-10-08-18:15:43, python
33 ,2024-10-08-18:26:14, cat ./data/bash_history.json
34 ,2024-10-08-18:26:43, print-history > ./data/bash_history.csv
35 ,2024-10-08-18:35:40, touch ./code/commands_analysis.py
36 ,2024-10-08-18:36:06, nano ./code/commands_analysis.py
37 ,2024-10-08-18:37:19, nano ./code/commands_analysis.py
38 ,2024-10-08-18:39:45, pwd
39 ,2024-10-08-18:40:21, python code/commands_analysis.py
40 ,2024-10-08-18:41:55, python code/commands_analysis.py
41 ,2024-10-08-18:42:21, python
42 ,2024-10-08-18:47:17, python
43 ,2024-10-08-18:55:47, cat bash_history.json
44 ,2024-10-08-18:56:59, cat ./data/bash_history.json
45 ,2024-10-08-18:57:21, python code/commands_analysis.py
46 ,2024-10-08-19:01:20, python
47 ,2024-10-08-19:05:05, print-history > ./data/bash_history.csv
48 ,2024-10-08-19:05:49, python
49 ,2024-10-08-19:07:14, python code/commands_analysis.py
50 ,2024-10-08-19:09:52, python code/commands_analysis.py
51 ,2024-10-08-19:11:36, python code/commands_analysis.py
52 ,2024-10-08-19:11:57, python code/commands_analysis.py
53 ,2024-10-08-19:13:57, python code/commands_analysis.py
54 ,2024-10-08-19:15:21, python code/commands_analysis.py
55 ,2024-10-08-19:15:58, python code/commands_analysis.py
56 ,2024-10-08-19:16:53, print-history > ./data/bash_history.csv
