1 ,2024-10-08-14:28:33, python
2 ,2024-10-08-14:29:38, ls
3 ,2024-10-08-14:30:33, cd W02-Practice
4 ,2024-10-08-14:31:25, ls
5 ,2024-10-08-14:32:17, mkdir data
6 ,2024-10-08-14:32:32, mkdir code
7 ,2024-10-08-14:33:26, ls
8 ,2024-10-08-14:33:29, tree
9 ,2024-10-08-14:34:12, branch
10 ,2024-10-08-14:35:41, history
11 ,2024-10-08-14:35:58, print-history
12 ,2024-10-08-14:37:00, print-history > ./data/bash_history.csv
13 ,2024-10-08-14:37:26, ls
14 ,2024-10-08-14:37:48, cd data
15 ,2024-10-08-14:37:50, ls
16 ,2024-10-08-14:38:03, cd ..
17 ,2024-10-08-14:39:33, nano hello.txt
18 ,2024-10-08-14:39:42, ls
19 ,2024-10-08-14:40:08, cat ./data/bash_history.csv
20 ,2024-10-08-14:41:08, cat > hello.txt
21 ,2024-10-08-14:41:19, ls
22 ,2024-10-08-14:41:26, rm hello.txt
23 ,2024-10-08-14:41:27, ls
24 ,2024-10-08-14:48:50, cat bash_history.csv
25 ,2024-10-08-14:48:59, ls
26 ,2024-10-08-14:49:02, cd data
27 ,2024-10-08-14:49:04, cat bash_history.csv
28 ,2024-10-08-14:49:27, head bash_history.csv
29 ,2024-10-08-14:53:13, head -n 5 bash_history.csv
30 ,2024-10-08-14:53:22, tail -n 5 bash_history.csv
31 ,2024-10-08-14:53:30, wc -l bash_history.csv
32 ,2024-10-08-14:53:37, wc -w bash_history.csv
33 ,2024-10-08-14:53:47, grep -c 'ls' bash_history.csv
34 ,2024-10-08-14:55:01, print-history > ./data/bash_history.csv
35 ,2024-10-08-14:55:05, ls
36 ,2024-10-08-14:55:13, cd ..
37 ,2024-10-08-14:55:15, print-history > ./data/bash_history.csv
