1 ,2024-10-08-13:35:43, python
2 ,2024-10-08-14:18:47, mkdir W02-Practice/
3 ,2024-10-08-14:21:38, cd WO2-Practice
4 ,2024-10-08-14:22:03, mkdir W02-Practice
5 ,2024-10-08-14:22:31, ls
6 ,2024-10-08-14:22:53, cd W02-Practice
7 ,2024-10-08-14:24:05, touch data
8 ,2024-10-08-14:24:17, touch code
9 ,2024-10-08-14:25:07, history
10 ,2024-10-08-14:30:46, print-history
11 ,2024-10-08-14:30:52, print-history > ./data/bash_history.csv
12 ,2024-10-08-14:33:17, cat ./data/bash_history.csv
13 ,2024-10-08-14:37:16, ls
14 ,2024-10-08-14:37:59, cat W02-Practice
15 ,2024-10-08-14:38:20, cat W02-Practice
16 ,2024-10-08-14:40:17, cd W02-Practice
17 ,2024-10-08-14:54:19, mkdir data
18 ,2024-10-08-14:55:12, rm data
19 ,2024-10-08-14:55:18, rm code
20 ,2024-10-08-14:55:23, ls
21 ,2024-10-08-14:55:34, mkdir data
22 ,2024-10-08-14:55:41, mkdir code
23 ,2024-10-08-14:56:25, print-history > ./data/bash_history.csv
