data-product-id,data-product-name,data-product-type,data-product-on-offer,data-product-index,image-url,product-page,product-name,product-size,item-price,price-per-unit,offer-description,category
525635,Organix Raspberry & Apple Soft Oaty Bars,G,false,1,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_525635_BP_3.jpg,https://www.waitrose.com/ecom/products/organix-raspberry-apple-soft-oaty-bars/525635-812878-812879,Organix Raspberry & Apple Soft Oaty Bars,6x23g,£3.15,£2.29/100g,,"Baby, Child & Parent"
557746,Organix Carrot Cake Oaty Bars,G,false,2,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_557746_BP_3.jpg,https://www.waitrose.com/ecom/products/organix-carrot-cake-oaty-bars/557746-812892-812893,Organix Carrot Cake Oaty Bars,6x23g,£3.15,£2.29/100g,,"Baby, Child & Parent"
032062,Aptamil 2 Follow On Milk,G,false,394,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_032062_BP_3.jpg,https://www.waitrose.com/ecom/products/aptamil-2-follow-on-milk/032062-15633-15634,Aptamil 2 Follow On Milk,800g,£13.50,£16.88/kg,,"Baby, Child & Parent"
767801,Essential Baby Wipes,G,false,4,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_767801_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-baby-wipes/767801-156319-156320,Essential Baby Wipes,80s,95p,1.2p each,,"Baby, Child & Parent"
514054,Organix Apple Rice Cakes,G,false,5,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_514054_BP_3.jpg,https://www.waitrose.com/ecom/products/organix-apple-rice-cakes/514054-791495-791496,Organix Apple Rice Cakes,40g,£1.60,£4/100g,,"Baby, Child & Parent"
671670,Pampers Baby Wipes,G,true,6,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_671670_BP_3.jpg,https://www.waitrose.com/ecom/products/pampers-baby-wipes/671670-346604-346605,Pampers Baby Wipes,52s,£1.50,2.9p each,Add 2 for £2,"Baby, Child & Parent"
844281,Kendamil First Infant Milk Ready To Feed,G,false,7,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_844281_BP_3.jpg,https://www.waitrose.com/ecom/products/kendamil-first-infant-milk-ready-to-feed/844281-791631-791632,Kendamil First Infant Milk Ready To Feed,250ml,£1.20,48p/100ml,,"Baby, Child & Parent"
847776,Ella's Kitchen Puree Prunes,G,true,8,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_847776_BP_3.jpg,https://www.waitrose.com/ecom/products/ellas-kitchen-puree-prunes/847776-346982-346983,Ella's Kitchen Puree Prunes,70g,£1.00,£1.43/100g,Add 5 for £4.50,"Baby, Child & Parent"
575652,Waterwipes Biodegradable,G,true,9,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_575652_BP_3.jpg,https://www.waitrose.com/ecom/products/waterwipes-biodegradable/575652-747458-747459,Waterwipes Biodegradable,60s,£2.50,4.2p each,save 60p. Was £3.10,"Baby, Child & Parent"
704723,Waitrose Mini Nappy Sacks,G,false,10,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_704723_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-mini-nappy-sacks/704723-592427-592428,Waitrose Mini Nappy Sacks,75s,£1.00,1.3p each,,"Baby, Child & Parent"
806931,Organix Summer Fruits Rice Cakes,G,false,11,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_806931_BP_3.jpg,https://www.waitrose.com/ecom/products/organix-summer-fruits-rice-cakes/806931-791599-791600,Organix Summer Fruits Rice Cakes,40g,£1.60,£4/100g,,"Baby, Child & Parent"
443848,Waitrose Mini Baby Wipes Fragrance Free,G,false,12,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_443848_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-mini-baby-wipes-fragrance-free/443848-583292-583293,Waitrose Mini Baby Wipes Fragrance Free,64s,£1.00,1.6p each,,"Baby, Child & Parent"
461239,Johnson's Cotton Buds,G,false,13,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_461239_BP_3.jpg,https://www.waitrose.com/ecom/products/johnsons-cotton-buds/461239-526646-526647,Johnson's Cotton Buds,200s,£1.30,0.7p each,,"Baby, Child & Parent"
