data-product-id,data-product-name,data-product-type,data-product-on-offer,data-product-index,image-url,product-page,product-name,product-size,item-price,price-per-unit,offer-description,category
053457,Essential British Free Range Semi-Skimmed Milk 4 Pints,G,false,1,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_053457_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-british-free-range-semi-skimmed-milk-4-pints/053457-26759-26760,Essential British Free Range Semi-Skimmed Milk 4 Pints,2.272litre,£1.55,68.2p/litre,,Best of British
088067,Waitrose British Strawberries,G,true,2,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088067_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-british-strawberries/088067-372145-45059,Waitrose British Strawberries,400g,£3.00,£7.50/kg,Add 2 for £4,Best of British
053448,Essential British Free Range Semi-Skimmed Milk 2 Pints,G,false,3,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_053448_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-british-free-range-semi-skimmed-milk-2-pints/053448-26749-26750,Essential British Free Range Semi-Skimmed Milk 2 Pints,1.136litre,£1.25,£1.11/litre,,Best of British
053404,Essential British Free Range Whole Milk 4 Pints,G,false,4,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_053404_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-british-free-range-whole-milk-4-pints/053404-26711-26712,Essential British Free Range Whole Milk 4 Pints,2.272litre,£1.55,68.2p/litre,,Best of British
082926,Waitrose FR Mixed Size Eggs British Blacktail,G,false,5,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_082926_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-fr-mixed-size-eggs-british-blacktail/082926-42143-42144,Waitrose FR Mixed Size Eggs British Blacktail,12s,£3.20,26.7p each,,Best of British
451045,Waitrose Mild Scottish Smoked Salmon,G,true,6,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_451045_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-mild-scottish-smoked-salmon/451045-63564-63565,Waitrose Mild Scottish Smoked Salmon,100g,£5.50,£5.50/100g,Add 2 for £7.50,Best of British
085847,Waitrose Large British Blacktail Free Range Eggs,G,false,7,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085847_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-large-british-blacktail-free-range-eggs/085847-43794-43795,Waitrose Large British Blacktail Free Range Eggs,12s,£4.25,35.4p each,,Best of British
046207,Waitrose 2 Scottish Salmon Fillets,G,true,8,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_046207_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-2-scottish-salmon-fillets/046207-22751-22752,Waitrose 2 Scottish Salmon Fillets,260g,£4.46,£17.16/kg,25% Off. Was £5.95,Best of British
062593,Cravendale Filtered Fresher for Longer Semi-Skimmed Milk Large,G,true,9,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_062593_BP_3.jpg,https://www.waitrose.com/ecom/products/cravendale-filtered-fresher-for-longer-semi-skimmed-milk-large/062593-31787-31788,Cravendale Filtered Fresher for Longer Semi-Skimmed Milk Large,2litre,£2.50,£1.25/litre,Add 2 for £4,Best of British
085704,Essential Cup Mushrooms,G,false,10,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085704_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-cup-mushrooms/085704-43729-43729,Essential Cup Mushrooms,300g,£1.00,£3.34/kg,,Best of British
004737,Waitrose British Blacktail FR Medium Eggs,G,false,11,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_004737_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-british-blacktail-fr-medium-eggs/004737-2041-2042,Waitrose British Blacktail FR Medium Eggs,6s,£1.75,29.2p each,,Best of British
