data-product-id,data-product-name,data-product-type,data-product-on-offer,data-product-index,image-url,product-page,product-name,product-size,item-price,price-per-unit,offer-description,category
393918,Hellmann's Squeezy Real Mayonnaise,G,true,204,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_393918_BP_3.jpg,https://www.waitrose.com/ecom/products/hellmanns-squeezy-real-mayonnaise/393918-55355-55356,Hellmann's Squeezy Real Mayonnaise,430ml,£2.50,58.1p/100ml,save 50p. Was £3.00,Food Cupboard
682129,Pringles Sour Cream & Onion Sharing Crisps,G,true,99,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_682129_BP_3.jpg,https://www.waitrose.com/ecom/products/pringles-sour-cream-onion-sharing-crisps/682129-140893-140894,Pringles Sour Cream & Onion Sharing Crisps,185g,£1.85,£1/100g,save 40p. Was £2.25,Food Cupboard
647910,Pringles Original Sharing Crisps,G,true,105,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_647910_BP_3.jpg,https://www.waitrose.com/ecom/products/pringles-original-sharing-crisps/647910-140863-140864,Pringles Original Sharing Crisps,185g,£1.85,£1/100g,save 40p. Was £2.25,Food Cupboard
856706,Essential Free Range White Eggs,G,false,4,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_856706_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-free-range-white-eggs/856706-653765-653766,Essential Free Range White Eggs,6s,£1.30,21.7p each,,Food Cupboard
019062,Essential Baked Beans in Tomato Sauce,G,true,5,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_019062_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-baked-beans-in-tomato-sauce/019062-9205-9206,Essential Baked Beans in Tomato Sauce,420g,55p,£1.31/kg,Add 4 for £1.90,Food Cupboard
082926,Waitrose FR Mixed Size Eggs British Blacktail,G,false,6,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_082926_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-fr-mixed-size-eggs-british-blacktail/082926-42143-42144,Waitrose FR Mixed Size Eggs British Blacktail,12s,£3.20,26.7p each,,Food Cupboard
085847,Waitrose Large British Blacktail Free Range Eggs,G,false,7,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085847_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-large-british-blacktail-free-range-eggs/085847-43794-43795,Waitrose Large British Blacktail Free Range Eggs,12s,£4.25,35.4p each,,Food Cupboard
002912,Essential Double Cream,G,false,8,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_002912_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-double-cream/002912-421421-1060,Essential Double Cream,300ml,£1.25,41.7p/100ml,,Food Cupboard
004737,Waitrose British Blacktail FR Medium Eggs,G,false,9,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_004737_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-british-blacktail-fr-medium-eggs/004737-2041-2042,Waitrose British Blacktail FR Medium Eggs,6s,£1.75,29.2p each,,Food Cupboard
039809,Waitrose Eggs British Blacktail Free Range,G,false,10,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_039809_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-eggs-british-blacktail-free-range/039809-19704-19705,Waitrose Eggs British Blacktail Free Range,6s,£2.60,43.3p each,,Food Cupboard
