data-product-id,data-product-name,data-product-type,data-product-on-offer,data-product-index,image-url,product-page,product-name,product-size,item-price,price-per-unit,offer-description,category
571194,No.1 Matice Melon,G,true,1962,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_571194_BP_3.jpg,https://www.waitrose.com/ecom/products/no1-matice-melon/571194-601706-601707,No.1 Matice Melon,Each,£3.16,£3.16 each,20% Off. Was £3.95,Fresh & Chilled
786602,Activia Strawberry Gut Health Yogurts,G,true,597,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_786602_BP_3.jpg,https://www.waitrose.com/ecom/products/activia-strawberry-gut-health-yogurts/786602-690832-690833,Activia Strawberry Gut Health Yogurts,4x115g,£1.75,38p/100g,save 90p. Was £2.65,Fresh & Chilled
708705,Tims Dairy Greek Style Caffé Latte Yogurt,G,false,1355,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_708705_BP_3.jpg,https://www.waitrose.com/ecom/products/tims-dairy-greek-style-caffe-latte-yogurt/708705-822517-822518,Tims Dairy Greek Style Caffé Latte Yogurt,450g,£2.50,55.6p/100g,,Fresh & Chilled
088903,Essential Fairtrade Bananas,G,false,4,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088903_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-fairtrade-bananas/088903-45703-45704,Essential Fairtrade Bananas,Typical weight 0.18kg,20p each est.,£1.10/kg,,Fresh & Chilled
053457,Essential British Free Range Semi-Skimmed Milk 4 Pints,G,false,5,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_053457_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-british-free-range-semi-skimmed-milk-4-pints/053457-26759-26760,Essential British Free Range Semi-Skimmed Milk 4 Pints,2.272litre,£1.55,68.2p/litre,,Fresh & Chilled
086468,Essential Cucumber,G,false,6,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086468_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-cucumber/086468-44158-44159,Essential Cucumber,Each,95p,95p each,,Fresh & Chilled
088067,Waitrose British Strawberries,G,true,7,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088067_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-british-strawberries/088067-372145-45059,Waitrose British Strawberries,400g,£3.00,£7.50/kg,Add 2 for £4,Fresh & Chilled
086412,Essential Red Peppers,G,false,8,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086412_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-red-peppers/086412-44120-44121,Essential Red Peppers,Typical weight 0.16kg,60p each est.,£3.75/kg,,Fresh & Chilled
088528,Essential Fairtrade Bananas,G,false,9,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088528_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-fairtrade-bananas/088528-45453-45454,Essential Fairtrade Bananas,5s,95p,19p each,,Fresh & Chilled
053448,Essential British Free Range Semi-Skimmed Milk 2 Pints,G,false,10,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_053448_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-british-free-range-semi-skimmed-milk-2-pints/053448-26749-26750,Essential British Free Range Semi-Skimmed Milk 2 Pints,1.136litre,£1.25,£1.11/litre,,Fresh & Chilled
085125,Essential Carrots,G,false,11,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085125_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-carrots/085125-43221-43222,Essential Carrots,Typical weight 0.14kg,10p each est.,70p/kg,,Fresh & Chilled
085115,Essential Onions,G,false,12,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085115_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-onions/085115-43203-43204,Essential Onions,Typical weight 0.15kg,15p each est.,£1/kg,,Fresh & Chilled
009596,Waitrose Cherry Vine Tomatoes,G,false,13,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_009596_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-cherry-vine-tomatoes/009596-4741-4742,Waitrose Cherry Vine Tomatoes,400g,£3.25,£8.13/kg,,Fresh & Chilled
088411,Essential Lemons,G,false,14,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088411_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-lemons/088411-45361-45362,Essential Lemons,Each,35p,35p each,,Fresh & Chilled
088061,Waitrose Raspberries,G,true,15,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088061_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-raspberries/088061-372144-45046,Waitrose Raspberries,150g,£2.60,£17.34/kg,Add 2 for £4,Fresh & Chilled
019292,Perfectly Ripe Avocados,G,false,16,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_019292_BP_3.jpg,https://www.waitrose.com/ecom/products/perfectly-ripe-avocados/019292-9331-9332,Perfectly Ripe Avocados,2s,£1.90,95p each,,Fresh & Chilled
085242,Essential Broccoli,G,false,17,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085242_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-broccoli/085242-43323-43324,Essential Broccoli,Typical weight 0.4kg,£1.00 each est.,£2.50/kg,,Fresh & Chilled
086453,Essential Bunched Salad Onions,G,false,18,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086453_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-bunched-salad-onions/086453-44148-44149,Essential Bunched Salad Onions,Each,65p,65p each,,Fresh & Chilled
085111,Essential Red Onions,G,false,19,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085111_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-red-onions/085111-43197-43198,Essential Red Onions,Typical weight 0.17kg,17p each est.,£1/kg,,Fresh & Chilled
085127,Essential Carrots,G,false,20,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085127_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-carrots/085127-415835-43225,Essential Carrots,1kg,70p,70p/kg,,Fresh & Chilled
086430,Essential Little Gem Lettuce,G,false,21,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086430_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-little-gem-lettuce/086430-44132-44133,Essential Little Gem Lettuce,2s,90p,45p each,,Fresh & Chilled
856706,Essential Free Range White Eggs,G,false,22,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_856706_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-free-range-white-eggs/856706-653765-653766,Essential Free Range White Eggs,6s,£1.30,21.7p each,,Fresh & Chilled
085437,Essential Courgettes,G,false,23,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085437_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-courgettes/085437-43488-43489,Essential Courgettes,Typical weight 0.21kg,63p each est.,£3.00/kg,,Fresh & Chilled
033668,Waitrose Small Fairtrade Bananas,G,false,24,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_033668_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-small-fairtrade-bananas/033668-16881-16882,Waitrose Small Fairtrade Bananas,7s,£1.25,17.9p each,,Fresh & Chilled
878309,Waitrose Red Seedless Grapes,G,true,25,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_878309_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-red-seedless-grapes/878309-786006-786007,Waitrose Red Seedless Grapes,500g,£2.25,£4.50/kg,Add 2 for £4,Fresh & Chilled
603507,Waitrose Seedless Easy Peelers,G,true,26,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_603507_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-seedless-easy-peelers/603507-85619-85620,Waitrose Seedless Easy Peelers,600g,£2.50,£4.17/kg,Add 2 for £4,Fresh & Chilled
483587,Waitrose Blueberries,G,true,27,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_483587_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-blueberries/483587-344052-344053,Waitrose Blueberries,150g,£2.50,£16.67/kg,Add 2 for £4,Fresh & Chilled
043101,Essential Salted Butter,G,false,28,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_043101_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-salted-butter/043101-21272-21273,Essential Salted Butter,250g,£1.75,£7/kg,,Fresh & Chilled
085049,Waitrose Baby New Potatoes,G,false,29,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085049_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-baby-new-potatoes/085049-43161-43162,Waitrose Baby New Potatoes,750g,£1.70,£2.27/kg,,Fresh & Chilled
088460,Cooks' Ingredients Unwaxed Lemons,G,false,30,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088460_BP_3.jpg,https://www.waitrose.com/ecom/products/cooks-ingredients-unwaxed-lemons/088460-45401-45402,Cooks' Ingredients Unwaxed Lemons,4s,£1.70,42.5p each,,Fresh & Chilled
086143,086143 - Cooks' Ingredients Garlic,G,false,31,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086143_BP_3.jpg,https://www.waitrose.com/ecom/products/086143-cooks-ingredients-garlic/086143-43987-43988,086143 - Cooks' Ingredients Garlic,Each,60p,60p each,,Fresh & Chilled
517737,Essential Sweet Potatoes,G,false,32,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_517737_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-sweet-potatoes/517737-349824-349825,Essential Sweet Potatoes,Typical weight 294g,38p each est.,13p/100g,,Fresh & Chilled
085024,Essential Large Potatoes,G,false,33,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085024_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-large-potatoes/085024-43126-43127,Essential Large Potatoes,4s,80p,20p each,,Fresh & Chilled
053404,Essential British Free Range Whole Milk 4 Pints,G,false,34,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_053404_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-british-free-range-whole-milk-4-pints/053404-26711-26712,Essential British Free Range Whole Milk 4 Pints,2.272litre,£1.55,68.2p/litre,,Fresh & Chilled
761298,Waitrose Green Seedless Grapes,G,true,35,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_761298_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-green-seedless-grapes/761298-785984-785985,Waitrose Green Seedless Grapes,500g,£2.25,£4.50/kg,Add 2 for £4,Fresh & Chilled
070278,Waitrose Perfectly Ripe Avocado,G,false,36,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_070278_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-perfectly-ripe-avocado/070278-35580-35581,Waitrose Perfectly Ripe Avocado,Each,£1.20,£1.20 each,,Fresh & Chilled
088036,Essential Blueberries,G,false,37,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088036_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-blueberries/088036-45014-45015,Essential Blueberries,150g,£2.00,£13.34/kg,,Fresh & Chilled
082926,Waitrose FR Mixed Size Eggs British Blacktail,G,false,38,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_082926_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-fr-mixed-size-eggs-british-blacktail/082926-42143-42144,Waitrose FR Mixed Size Eggs British Blacktail,12s,£3.20,26.7p each,,Fresh & Chilled
005274,Waitrose Classic Vine Tomatoes,G,false,39,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_005274_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-classic-vine-tomatoes/005274-2275-2276,Waitrose Classic Vine Tomatoes,450g,£2.30,£5.12/kg,,Fresh & Chilled
058044,Sweet Peppers,G,true,40,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_058044_BP_3.jpg,https://www.waitrose.com/ecom/products/sweet-peppers/058044-29138-29139,Sweet Peppers,3s,£1.42,47.3p each,25% Off. Was £1.90,Fresh & Chilled
451045,Waitrose Mild Scottish Smoked Salmon,G,true,41,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_451045_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-mild-scottish-smoked-salmon/451045-63564-63565,Waitrose Mild Scottish Smoked Salmon,100g,£5.50,£5.50/100g,Add 2 for £7.50,Fresh & Chilled
862346,Waitrose Yellow Flesh Nectarines,G,true,42,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_862346_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-yellow-flesh-nectarines/862346-498293-498294,Waitrose Yellow Flesh Nectarines,4s,£3.00,75p each,Add 2 for £4,Fresh & Chilled
085005,Essential Large White Potatoes,G,false,43,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085005_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-large-white-potatoes/085005-43095-43096,Essential Large White Potatoes,Typical weight 0.28kg,24p each est.,87p/kg,,Fresh & Chilled
085489,Essential Aubergines,G,false,44,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085489_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-aubergines/085489-43562-43563,Essential Aubergines,Each,£1.00,£1 each,,Fresh & Chilled
890609,Essential Raspberries,G,false,45,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_890609_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-raspberries/890609-151436-151437,Essential Raspberries,150g,£2.00,£13.34/kg,,Fresh & Chilled
088973,Duchy Organic Blueberries,G,false,46,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088973_BP_3.jpg,https://www.waitrose.com/ecom/products/duchy-organic-blueberries/088973-45748-45749,Duchy Organic Blueberries,125g,£2.50,£20/kg,,Fresh & Chilled
