data-product-id,data-product-name,data-product-type,data-product-on-offer,data-product-index,image-url,product-page,product-name,product-size,item-price,price-per-unit,offer-description,category
677646,Cornetto Classico Ice Cream Cone,G,true,1,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_677646_BP_3.jpg,https://www.waitrose.com/ecom/products/cornetto-classico-ice-cream-cone/677646-261246-261247,Cornetto Classico Ice Cream Cone,6x90ml,£3.95,73.1p/100ml,Add 2 for £5,Frozen
831973,Calippo Mini Orange & Lemon-Lime Ice Cream Lollies,G,true,86,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_831973_BP_3.jpg,https://www.waitrose.com/ecom/products/calippo-mini-orange-lemon-lime-ice-cream-lollies/831973-688722-688723,Calippo Mini Orange & Lemon-Lime Ice Cream Lollies,5x80ml,£2.75,68.8p/100ml,Add 2 for £4,Frozen
893134,Magnum Classic Vanilla Ice Cream Sticks,G,true,3,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_893134_BP_3.jpg,https://www.waitrose.com/ecom/products/magnum-classic-vanilla-ice-cream-sticks/893134-409662-409663,Magnum Classic Vanilla Ice Cream Sticks,3x100ml,£3.50,£1.17/100ml,Add 2 for £5,Frozen
376067,Essential Frozen Blueberries,G,false,4,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_376067_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-frozen-blueberries/376067-52962-52963,Essential Frozen Blueberries,400g,£2.35,58.8p/100g,,Frozen
459486,The Ice Co° Premium Ice Cubes,G,false,5,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_459486_BP_3.jpg,https://www.waitrose.com/ecom/products/the-ice-co-premium-ice-cubes/459486-771123-771124,The Ice Co° Premium Ice Cubes,2Kg,£1.45,72.5p/kg,,Frozen
035738,035738 - Solero Exotic Ice cream Lolly,G,true,6,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_035738_BP_3.jpg,https://www.waitrose.com/ecom/products/035738-solero-exotic-ice-cream-lolly/035738-17968-17969,035738 - Solero Exotic Ice cream Lolly,270ml,£2.75,£1.02/100ml,Add 2 for £4,Frozen
771268,Essential Frozen Raspberries,G,false,7,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_771268_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-frozen-raspberries/771268-198052-198053,Essential Frozen Raspberries,350g,£2.35,67.1p/100g,,Frozen
054003,Essential Frozen British Garden Peas,G,false,8,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_054003_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-frozen-british-garden-peas/054003-27079-27080,Essential Frozen British Garden Peas,725g,£1.20,£1.66/kg,,Frozen
485616,Waitrose Frozen 8 Butter Croissants,G,false,9,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_485616_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-frozen-8-butter-croissants/485616-380320-380321,Waitrose Frozen 8 Butter Croissants,440g,£3.80,86.4p/100g,,Frozen
569590,Essential Frozen French Fries,G,false,10,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_569590_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-frozen-french-fries/569590-771173-771174,Essential Frozen French Fries,900g,£1.75,£1.95/kg,,Frozen
786795,Essential Frozen Straight Cut Oven Chips,G,false,11,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_786795_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-frozen-straight-cut-oven-chips/786795-645003-645004,Essential Frozen Straight Cut Oven Chips,900g,£1.75,£1.95/kg,,Frozen
054027,Essential Frozen British Petits Pois,G,false,12,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_054027_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-frozen-british-petits-pois/054027-27091-27092,Essential Frozen British Petits Pois,725g,£1.40,£1.94/kg,,Frozen
005710,McCain Crispy French Fries,G,true,13,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_005710_BP_3.jpg,https://www.waitrose.com/ecom/products/mccain-crispy-french-fries/005710-2478-2479,McCain Crispy French Fries,900g,£2.75,£3.06/kg,save 45p. Was £3.20,Frozen
089682,No.1 Madagascan Vanilla Ice Cream,G,true,14,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_089682_BP_3.jpg,https://www.waitrose.com/ecom/products/no1-madagascan-vanilla-ice-cream/089682-46236-46237,No.1 Madagascan Vanilla Ice Cream,500ml,£3.00,60p/100ml,25% Off. Was £4.40,Frozen
687780,Cadbury Dairy Milk Sticks,G,true,15,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_687780_BP_3.jpg,https://www.waitrose.com/ecom/products/cadbury-dairy-milk-sticks/687780-801988-801989,Cadbury Dairy Milk Sticks,4x90ml,£3.70,,Add 2 for £5,Frozen
023278,Carte D'Or Madagascan Vanilla Ice Cream Tub Dessert,G,false,16,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_023278_BP_3.jpg,https://www.waitrose.com/ecom/products/carte-dor-madagascan-vanilla-ice-cream-tub-dessert/023278-11313-11314,Carte D'Or Madagascan Vanilla Ice Cream Tub Dessert,900ml,£3.95,43.9p/100ml,,Frozen
439978,Essential Frozen Berries,G,false,17,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_439978_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-frozen-berries/439978-679257-679258,Essential Frozen Berries,1Kg,£4.20,42p/100g,,Frozen
498285,Waitrose Frozen Crisp & Fluffy Chunky Chips,G,false,18,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_498285_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-frozen-crisp-fluffy-chunky-chips/498285-644879-644880,Waitrose Frozen Crisp & Fluffy Chunky Chips,1Kg,£2.75,£2.75/kg,,Frozen
054004,Essential Frozen British Garden Peas,G,false,19,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_054004_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-frozen-british-garden-peas/054004-27081-27082,Essential Frozen British Garden Peas,1.25Kg,£1.85,£1.48/kg,,Frozen
859589,Magnum Mini Classic,G,false,20,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_859589_BP_3.jpg,https://www.waitrose.com/ecom/products/magnum-mini-classic/859589-823426-823427,Magnum Mini Classic,6x55ml,£4.75,£1.44/100ml,,Frozen
524019,Waitrose Frozen 2 Breaded Cod Fillets,G,false,21,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_524019_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-frozen-2-breaded-cod-fillets/524019-239377-239378,Waitrose Frozen 2 Breaded Cod Fillets,300g,£4.40,£14.67/kg,,Frozen
861695,Birds Eye Garden Peas,G,false,22,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_861695_BP_3.jpg,https://www.waitrose.com/ecom/products/birds-eye-garden-peas/861695-305805-305806,Birds Eye Garden Peas,800g,£2.95,£3.69/kg,,Frozen
