data-product-id,data-product-name,data-product-type,data-product-on-offer,data-product-index,image-url,product-page,product-name,product-size,item-price,price-per-unit,offer-description,category
571194,No.1 Matice Melon,G,true,923,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_571194_BP_3.jpg,https://www.waitrose.com/ecom/products/no1-matice-melon/571194-601706-601707,No.1 Matice Melon,Each,£3.16,£3.16 each,20% Off. Was £3.95,Waitrose Brands
652224,Waitrose Blush Pears,G,false,460,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_652224_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-blush-pears/652224-459790-459791,Waitrose Blush Pears,4s,£2.25,56.3p each,,Waitrose Brands
848547,No.1 2 MSC Yellowfin Tuna Steaks,G,false,208,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_848547_BP_3.jpg,https://www.waitrose.com/ecom/products/no1-2-msc-yellowfin-tuna-steaks/848547-755097-755098,No.1 2 MSC Yellowfin Tuna Steaks,240g,£9.95,£41.46/kg,,Waitrose Brands
088903,Essential Fairtrade Bananas,G,false,4,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088903_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-fairtrade-bananas/088903-45703-45704,Essential Fairtrade Bananas,Typical weight 0.18kg,20p each est.,£1.10/kg,,Waitrose Brands
053457,Essential British Free Range Semi-Skimmed Milk 4 Pints,G,false,5,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_053457_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-british-free-range-semi-skimmed-milk-4-pints/053457-26759-26760,Essential British Free Range Semi-Skimmed Milk 4 Pints,2.272litre,£1.55,68.2p/litre,,Waitrose Brands
086468,Essential Cucumber,G,false,6,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086468_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-cucumber/086468-44158-44159,Essential Cucumber,Each,95p,95p each,,Waitrose Brands
086412,Essential Red Peppers,G,false,7,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086412_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-red-peppers/086412-44120-44121,Essential Red Peppers,Typical weight 0.16kg,60p each est.,£3.75/kg,,Waitrose Brands
088528,Essential Fairtrade Bananas,G,false,8,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088528_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-fairtrade-bananas/088528-45453-45454,Essential Fairtrade Bananas,5s,95p,19p each,,Waitrose Brands
053448,Essential British Free Range Semi-Skimmed Milk 2 Pints,G,false,9,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_053448_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-british-free-range-semi-skimmed-milk-2-pints/053448-26749-26750,Essential British Free Range Semi-Skimmed Milk 2 Pints,1.136litre,£1.25,£1.11/litre,,Waitrose Brands
085125,Essential Carrots,G,false,10,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085125_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-carrots/085125-43221-43222,Essential Carrots,Typical weight 0.14kg,10p each est.,70p/kg,,Waitrose Brands
085115,Essential Onions,G,false,11,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085115_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-onions/085115-43203-43204,Essential Onions,Typical weight 0.15kg,15p each est.,£1/kg,,Waitrose Brands
088411,Essential Lemons,G,false,12,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_088411_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-lemons/088411-45361-45362,Essential Lemons,Each,35p,35p each,,Waitrose Brands
085242,Essential Broccoli,G,false,13,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085242_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-broccoli/085242-43323-43324,Essential Broccoli,Typical weight 0.4kg,£1.00 each est.,£2.50/kg,,Waitrose Brands
086453,Essential Bunched Salad Onions,G,false,14,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086453_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-bunched-salad-onions/086453-44148-44149,Essential Bunched Salad Onions,Each,65p,65p each,,Waitrose Brands
085111,Essential Red Onions,G,false,15,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085111_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-red-onions/085111-43197-43198,Essential Red Onions,Typical weight 0.17kg,17p each est.,£1/kg,,Waitrose Brands
085127,Essential Carrots,G,false,16,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085127_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-carrots/085127-415835-43225,Essential Carrots,1kg,70p,70p/kg,,Waitrose Brands
086430,Essential Little Gem Lettuce,G,false,17,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_086430_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-little-gem-lettuce/086430-44132-44133,Essential Little Gem Lettuce,2s,90p,45p each,,Waitrose Brands
856706,Essential Free Range White Eggs,G,false,18,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_856706_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-free-range-white-eggs/856706-653765-653766,Essential Free Range White Eggs,6s,£1.30,21.7p each,,Waitrose Brands
085437,Essential Courgettes,G,false,19,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_085437_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-courgettes/085437-43488-43489,Essential Courgettes,Typical weight 0.21kg,63p each est.,£3.00/kg,,Waitrose Brands
878309,Waitrose Red Seedless Grapes,G,true,20,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_878309_BP_3.jpg,https://www.waitrose.com/ecom/products/waitrose-red-seedless-grapes/878309-786006-786007,Waitrose Red Seedless Grapes,500g,£2.25,£4.50/kg,Add 2 for £4,Waitrose Brands
043101,Essential Salted Butter,G,false,21,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_043101_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-salted-butter/043101-21272-21273,Essential Salted Butter,250g,£1.75,£7/kg,,Waitrose Brands
019062,Essential Baked Beans in Tomato Sauce,G,true,22,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_019062_BP_3.jpg,https://www.waitrose.com/ecom/products/essential-baked-beans-in-tomato-sauce/019062-9205-9206,Essential Baked Beans in Tomato Sauce,420g,55p,£1.31/kg,Add 4 for £1.90,Waitrose Brands
